Seal No.,Image URL,Seal Name,Expert Description,LLM Description,Accuracy Score,Why this score?,Has Description,
1,https://www.harappa.com/indus/34.html,deity-seal_0,"Seal depicting a deity with horned headdress and bangles on both arms, standing in a pipal (sacred fig) tree and looking down on a kneeling worshiper. A human head rests on a small stool. A giant ram and seven figures in procession complete the narrative. The figures wear a single plumed headdress, bangles on both arms and long skirts.","This larger seal presents a complex composition featuring multiple figures including what appears to be a central animal (possibly a bull or water buffalo) with human figures arranged around it. There are also script characters and what might be plant or tree motifs. This composition suggests a narrative scene, possibly mythological or ceremonial in nature. The presence of multiple human figures is particularly significant, as human representations are less common than animal motifs in Harappan seals. This seal likely belonged to someone of high status and might depict an important cultural or religious scene from Indus Valley civilization.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
2,https://www.harappa.com/indus3/185.html,tiger-tree-man,Molded terracotta tablet with a narrative scene of a man in a tree with a tiger looking back over its shoulder. The reverse of the same molded terra cotta tablet shows a deity grappling with two tigers and standing above an elephant.,"This seal fragment shows what appears to be animal figures, possibly including bovines, along with other design elements. Though partially preserved, it demonstrates the consistent quality of Harappan seal-making even in fragmentary remains. The naturalistic animal representations continue the tradition seen throughout Harappan seal art.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
3,https://www.harappa.com/indus3/205.html,Faience tablet or standard,This unique mold-made faience tablet or standard on one side has a short inscription under a rectangular box filled with 24 dots. The reverse has a narrative scene with two bulls fighting under a thorny tree.,"
This appears to show both sides of a circular seal with intricate designs including what might be animal figures and possibly plant or tree motifs. The circular format and the presence of both animal and botanical elements suggest this seal might have had special ceremonial or religious significance. The complexity of the design indicates it belonged to someone of importance in Harappan society.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
4,https://www.harappa.com/indus5/80.html,Indus Narrative Tablets,"The rear of the buffalo and the front of the gharial in the left tablet which overlaps with the iconography of the right tablet, although they do not seem to come from the same mold.","This shows what appears to be two related seal impressions featuring animal figures, including what look like bulls or other large mammals. The impressions demonstrate how seals were used to create multiple copies, essential for administrative record-keeping. The animal figures are rendered with naturalistic detail, and the composition suggests these seals were used by individuals or institutions associated with livestock or animal-related activities.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
5,https://www.harappa.com/slide/molded-tablet-0,Molded tablet,"Plano convex molded tablet showing an individual spearing a water buffalo with one foot pressing the head down and one arm holding the tip of a horn. A gharial is depicted above the sacrifice scene and a figure seated in yogic position, wearing a horned headdress, looks on. The horned headdress has a branch with three prongs or leaves emerging from the center.","This appears to be a longer, rectangular seal showing multiple animal figures in what seems to be a narrative or processional arrangement. The animals appear to include various species, possibly showing a hunting scene, migration, or ceremonial procession. This type of narrative composition is significant as it suggests the Harappan people created visual stories or recorded important events through their seal art.",2,Minimal match; general context is similar but details differ.,Yes,
6,https://www.harappa.com/indus4/5.html,Intaglio seal with script and unicorn,Intaglio seal with script and unicorn motif ,"This seal contains script characters along with what appears to be animal figures, including what looks like a long-necked animal (possibly an antelope or deer) and other creatures. The combination of multiple animals with text suggests this might have been used by someone involved in animal trade or whose identity was associated with various animal species. The naturalistic rendering of the animals shows the skill of Harappan artisans in depicting wildlife.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
7,https://www.harappa.com/indus3/187.html,Faience button seal,A faience button seal with geometric motif ,"This seal displays an intricate geometric pattern that appears maze-like or labyrinthine. The design consists of interconnected rectangular or square shapes creating a complex pathway or pattern. Such sophisticated geometric designs suggest advanced mathematical understanding and might have served as identifying marks, religious symbols, or representations of architectural or urban planning concepts that were important to Harappan civilization.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
8,https://www.harappa.com/indus3/203.html,Steatite button seal,Fired steatite button seal with four concentric circle designs ,"This seal features a geometric pattern of four circular or ring-like motifs arranged in a square formation. Each circle appears to have a central dot or hole, creating a regular, symmetrical pattern. This type of geometric design might represent wheels, shields, ornamental motifs, or abstract symbols with mathematical or cosmological significance. The precision of the arrangement demonstrates the Harappan appreciation for order and symmetry.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
9,https://www.harappa.com/indus/25.html,unicorn-seal_0,"A collar or additional folds encircle the throat. In front of the unicorn is a ritual offering stand with droplets of water or sacred liquid along the bottom of the bowl. The top portion of the stand depicts a square grid or sieve, that actually may have been a circular cylinder.","This seal shows what appears to be a bull or similar bovine animal along with additional figures that might represent a human figure or other animals. There are also script characters present. The composition suggests a scene of interaction, possibly showing human-animal relationships that were important in Harappan society, whether in terms of animal husbandry, religious practices, or mythological narratives.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
10,https://www.harappa.com/indus/27.html,bull-seal_0,"The zebu bull may symbolize the leader of the herd, whose strength and virility protects the herd and ensures the procreation of the species or it stands for a sacrificial animal. When carved in stone, the zebu bull probably represents the most powerful clan or top officials of Mohenjo-daro and Harappa.","This seal depicts what appears to be a bull or zebu with distinctive features like a prominent hump and horns. There are script characters visible, likely identifying information. The bull is carved with exceptional detail, showing the muscular structure and characteristic features of the animal. Bulls were clearly important in Harappan culture, possibly representing divinity, fertility, strength, or economic wealth through livestock.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
11,https://www.harappa.com/indus/28.html,bison-seal_0,"This is a flat square double sided seal. On one side, four script symbols are inscribed in reverse, above a bison with head lowered to the feeding trough. A swastika motif turning counter clockwise is carved on the reverse. The seal is perforated from the side along the axis of the animal motif.","This seal features what appears to be animals (possibly including a bull) along with script characters. The composition shows the sophisticated ability of Harappan seal-makers to combine textual and pictorial elements in a coherent design. The animals are rendered with attention to anatomical detail, and their positioning suggests they may represent a narrative scene or symbolic arrangement.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
12,https://www.harappa.com/indus/33.html,yogic-seal_0,"This is a seal depicting a nude, three-faced male deity seated in a yogic pose on a throne. The figure wears an elaborate headdress with buffalo-like horns, upward points, and a branch with three pipal leaves. He has seven bangles on the left arm and six on the right, with hands resting on the knees and feet extending beyond the throne. The throne legs are shaped like bovine hooves. Indus script symbols flank the headdress. The seal is made of very hard stone and has a grooved, perforated boss on the back.","This seal shows a combination of script characters and what appears to be an animal figure, possibly a bull or buffalo. The integration of text and imagery is characteristic of many Harappan seals, suggesting they served both practical administrative functions and symbolic purposes. The animal is depicted with the naturalistic style typical of Indus Valley art, while the script above likely identifies the seal's owner or purpose.",4,Mostly matches; one or two details are generalized or missing.,Yes,
13,https://www.harappa.com/indus/35.html,animal-seal,"Square seal with multiple headed animal depicting three important totemic animals: the bull, the unicorn, and the antelope. All three animals are seen individually on other seals along with script, but this seal has no script.","This seal depicts what clearly appears to be animals, likely bulls or water buffalo, which are among the most common motifs in Harappan seals. These animals are carved with remarkable naturalism, showing the Harappan artists' keen observation of animal anatomy and behavior. Bulls and buffalo were likely significant in both the economic and religious life of the Indus Valley people, representing wealth, power, fertility, or divine attributes. The animals appear to be in motion or positioned in a ceremonial manner.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
14,https://www.harappa.com/slide/mundigak-stone-seals-0,round-seal-2,"The picture of a local style and possibly local production might suggest that these seals were involved in some form of elite economical or ceremonial activities, rather than in long-distance communication and exchange","This is a circular seal, which is less common than the typical square format. The circular design contains what appears to be script characters arranged around the perimeter or across the surface. Circular seals might have had special significance or been used by particular classes of officials or merchants. The script arrangement suggests this was an important administrative or identification tool.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
15,https://www.harappa.com/seal/12.html,Trough,"There are at least five theories about this object. Mackay and Marshall thought it was the feeding trough or ""manger"" still seen in Sindh today. There is work connecting it to contemporary offering stands used in central India today. Mackay also guessed that it could have been a cage for birds or insects, or an incense burner. A fifth, more recent theory suggests that the object may have been the filter used to extract the intoxicating Soma drink described in the Rg Veda.","This seal features what appears to be a vertical arrangement of elements, possibly representing a standard, pole, or ceremonial object. The design might depict some form of religious or administrative symbol, perhaps a banner or staff of office. The vertical orientation is less common in Harappan seals, making this potentially significant for understanding ceremonial or hierarchical aspects of Indus Valley society.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
16,https://www.harappa.com/seal/15.html,Seal Signs,Not Mentioned,"This seal impression shows what appears to be script characters along with possible geometric or symbolic elements. The characters display the characteristic angular and linear forms of Indus Valley writing. The arrangement suggests this was likely used for administrative purposes, possibly marking goods, documenting transactions, or identifying ownership. The clarity of the impression indicates the seal was well-made and frequently used.",,,No,
17,https://www.harappa.com/seal/17.html,Terminal Sign,"The bottom part (figure carrying) denotes a bearer of office. The top represents a jar, which is related to priestly duties in early historical Indian culture. He would therefore suggest that this sign denotes an officer with priestly duties.","This appears to show two impressions of the same seal, demonstrating how these seals were used to create impressions in clay. The design seems to feature curved or circular elements, possibly representing vessels, containers, or abstract symbols. The dual impression shows the practical application of these seals in administrative or commercial contexts, where multiple copies of the same mark would be needed for record-keeping or authentication purposes.",3,"Some overlap with key ideas, but includes vague or incorrect elements.",Yes,
18,https://www.harappa.com/slide/long-rectangular-seal,Long Rectangular seal,Not Mentioned,"This rectangular seal contains what appears to be Indus Valley script characters along with some form of architectural or structural representation. The script characters are arranged in a linear fashion, typical of Harappan writing, though the script remains undeciphered. Below or alongside the text, there seems to be a representation of what could be a building, granary, or other architectural structure, possibly indicating the seal owner's association with construction, storage, or administrative buildings.",,,No,
